filename,class
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (961).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (53).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (100).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (81).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (468).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (44).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (128).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (80).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (986).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (98).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (260).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (235).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (222).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (914).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1271).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1025).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (13).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (860).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (682).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (402).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (45).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (678).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (917).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1093).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1096).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (811).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (889).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (340).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (741).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (628).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (487).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (7).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (618).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (623).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (484).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (705).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (81).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1260).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (241).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (652).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1003).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1059).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (319).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1236).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/224850.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (184).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1327).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (691).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (709).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (429).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1101).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (226).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1255).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (575).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (87).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (535).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (754).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (524).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (324).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/160274.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (650).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (278).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (570).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (556).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1314).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (831).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (122).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (472).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (289).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (546).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (204).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (133).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (33).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (342).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (14).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (57).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/180961.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (898).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1104).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1163).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1184).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1273).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (74).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1323).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1207).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1055).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (178).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (339).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (238).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1202).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1294).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (338).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (133).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (975).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (75).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (861).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (559).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (359).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (122).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1205).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (802).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (91).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (12).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (633).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1220).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1058).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (879).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1057).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (727).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1053).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (73).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1223).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (43).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1200).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (120).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1312).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (84).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (246).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1193).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (85).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (746).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (990).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (358).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (36).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (365).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (638).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (415).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (8).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (395).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (521).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (923).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1229).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (848).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1203).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (651).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1108).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1216).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1036).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (210).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (410).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (894).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (688).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (970).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (776).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (132).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (625).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (711).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (150).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (11).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (589).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (419).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (969).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (174).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (221).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1254).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (68).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (843).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (162).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (475).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1120).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (723).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1052).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (200).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (601).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1300).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (105).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (372).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (999).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (428).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (152).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (536).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (832).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (620).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (925).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (127).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1320).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (697).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1061).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (17).png,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (108).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1031).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (19).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1201).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (411).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (542).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (760).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1242).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (354).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1128).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1228).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (892).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (253).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (641).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (95).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (20).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (146).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (792).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1329).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (291).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1068).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (857).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (492).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (766).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (31).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (629).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (104).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1279).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (164).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (10).jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (844).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (405).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (646).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1234).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1268).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1332).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1265).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1321).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1141).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1124).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (744).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (896).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (408).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1019).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (353).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (396).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (26).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (784).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (473).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (403).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (798).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (748).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (300).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (466).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/142835.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/171607.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (2).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/156135.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/219922.jpg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (407).jpeg,Hot Dog
/content/food-image-classification-dataset/Food Classification dataset/Hot Dog/Hot Dog - Train (1089).jpeg,Hot Dog
